Created as New Dataset,Sample 292 By YargerLab Date Sunday, August 18 2024
cm-1,%T
4000.00,98.75
3999.00,98.76
3998.00,98.76
3997.00,98.76
3996.00,98.77
3995.00,98.77
3994.00,98.77
3993.00,98.77
3992.00,98.76
3991.00,98.76
3990.00,98.76
3989.00,98.76
3988.00,98.76
3987.00,98.75
3986.00,98.76
3985.00,98.76
3984.00,98.76
3983.00,98.76
3982.00,98.76
3981.00,98.76
3980.00,98.76
3979.00,98.76
3978.00,98.76
3977.00,98.76
3976.00,98.77
3975.00,98.77
3974.00,98.77
3973.00,98.77
3972.00,98.77
3971.00,98.77
3970.00,98.77
3969.00,98.77
3968.00,98.77
3967.00,98.77
3966.00,98.77
3965.00,98.77
3964.00,98.77
3963.00,98.77
3962.00,98.76
3961.00,98.77
3960.00,98.77
3959.00,98.77
3958.00,98.77
3957.00,98.77
3956.00,98.77
3955.00,98.77
3954.00,98.77
3953.00,98.77
3952.00,98.77
3951.00,98.77
3950.00,98.78
3949.00,98.78
3948.00,98.78
3947.00,98.78
3946.00,98.78
3945.00,98.78
3944.00,98.78
3943.00,98.78
3942.00,98.77
3941.00,98.77
3940.00,98.77
3939.00,98.78
3938.00,98.78
3937.00,98.78
3936.00,98.77
3935.00,98.77
3934.00,98.77
3933.00,98.78
3932.00,98.78
3931.00,98.79
3930.00,98.79
3929.00,98.79
3928.00,98.79
3927.00,98.79
3926.00,98.79
3925.00,98.78
3924.00,98.78
3923.00,98.78
3922.00,98.78
3921.00,98.79
3920.00,98.79
3919.00,98.79
3918.00,98.79
3917.00,98.79
3916.00,98.80
3915.00,98.80
3914.00,98.80
3913.00,98.79
3912.00,98.79
3911.00,98.78
3910.00,98.78
3909.00,98.78
3908.00,98.78
3907.00,98.79
3906.00,98.79
3905.00,98.79
3904.00,98.80
3903.00,98.80
3902.00,98.81
3901.00,98.81
3900.00,98.81
3899.00,98.81
3898.00,98.81
3897.00,98.81
3896.00,98.81
3895.00,98.80
3894.00,98.80
3893.00,98.80
3892.00,98.80
3891.00,98.80
3890.00,98.80
3889.00,98.80
3888.00,98.81
3887.00,98.81
3886.00,98.81
3885.00,98.81
3884.00,98.81
3883.00,98.81
3882.00,98.81
3881.00,98.82
3880.00,98.82
3879.00,98.82
3878.00,98.81
3877.00,98.81
3876.00,98.81
3875.00,98.81
3874.00,98.81
3873.00,98.81
3872.00,98.81
3871.00,98.82
3870.00,98.82
3869.00,98.82
3868.00,98.82
3867.00,98.83
3866.00,98.83
3865.00,98.83
3864.00,98.83
3863.00,98.83
3862.00,98.83
3861.00,98.83
3860.00,98.83
3859.00,98.83
3858.00,98.83
3857.00,98.83
3856.00,98.83
3855.00,98.83
3854.00,98.84
3853.00,98.84
3852.00,98.85
